C,l1_ratio,top_k,n_estimators,max_depth,mean_accuracy,mean_balanced_accuracy,mean_f1
0.1,0.3,100,100,5.0,0.7875,0.7933333333333334,0.7842983405483406
0.1,0.3,50,100,5.0,0.775,0.78,0.772028527028527
0.1,0.3,100,300,5.0,0.775,0.7800000000000001,0.7713320707070708
0.1,0.3,100,100,,0.775,0.78,0.7726695526695526
0.1,0.3,100,100,10.0,0.775,0.78,0.7726695526695526
1.0,0.5,50,300,,0.775,0.7822222222222222,0.7692968142968143
1.0,0.7,20,100,5.0,0.775,0.7777777777777778,0.7736607142857143
1.0,0.5,50,300,10.0,0.775,0.7822222222222222,0.7692968142968143
1.0,0.7,20,300,5.0,0.775,0.7777777777777778,0.7725923382173383
1.0,0.7,100,300,5.0,0.775,0.78,0.7711573149073149
10.0,0.7,50,100,5.0,0.775,0.7777777777777778,0.7683009351759352
1.0,0.3,20,300,,0.7625,0.7622222222222222,0.7548351648351648
1.0,0.5,100,300,5.0,0.7625,0.768888888888889,0.7574073149073148
10.0,0.5,50,100,,0.7625,0.7622222222222222,0.7535184260184261
10.0,0.3,20,100,10.0,0.7625,0.7644444444444445,0.7495299145299146
1.0,0.7,100,300,,0.7625,0.768888888888889,0.7574073149073148
1.0,0.3,50,300,,0.7625,0.7688888888888888,0.7556683594183593
1.0,0.3,50,300,10.0,0.7625,0.7688888888888888,0.7556683594183593
1.0,0.3,50,100,5.0,0.7625,0.7666666666666666,0.7591910866910867
10.0,0.3,20,300,,0.7625,0.7622222222222222,0.7488316544566544
10.0,0.3,20,300,10.0,0.7625,0.7622222222222222,0.7488316544566544
0.1,0.3,100,300,10.0,0.7625,0.7666666666666668,0.7597032828282828
0.1,0.3,100,300,,0.7625,0.7666666666666668,0.7597032828282828
1.0,0.7,100,300,10.0,0.7625,0.768888888888889,0.7574073149073148
10.0,0.5,50,100,5.0,0.7625,0.76,0.7473325285825285
10.0,0.7,50,300,,0.7625,0.7666666666666667,0.7564991952491953
10.0,0.5,50,300,5.0,0.7625,0.76,0.7481929181929182
10.0,0.7,50,300,5.0,0.7625,0.7666666666666667,0.7564991952491953
10.0,0.7,50,300,10.0,0.7625,0.7666666666666667,0.7564991952491953
10.0,0.5,50,100,10.0,0.7625,0.7622222222222222,0.7535184260184261
1.0,0.5,50,300,5.0,0.75,0.7577777777777778,0.7451680264180264
1.0,0.7,20,300,,0.75,0.7555555555555555,0.7471756715506717
1.0,0.7,20,100,,0.75,0.7555555555555555,0.7471756715506717
1.0,0.5,50,100,10.0,0.75,0.7555555555555555,0.7444784382284382
